Timestamp,Date,Measure,EUROe,EURT,USDL,BRLA,USDV,USDGLO,NZDD,BEAN,TRYB,USDe,FDUSD,ZUSD,VCHF,DAI,aUSDT,USD0,QCAD,CNHT,USDD,USDz,sEUR,XIDR,AUSD,AUDD,sUSD,M,EURS,AUDF,PYUSD,AGEUR,USDM,BRZ,XSGD,USDT,GHO,BSC-BUSD,LUSD,1GBP,EURL,GUSD,MXNT,BUSD,GYEN,USDP,FRAX,USDC,BSC-USD,EURC,EURCV,IDRT
1511827200000,2017-11-28,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,
1511913600000,2017-11-29,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,
1512000000000,2017-11-30,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,
1512086400000,2017-12-01,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,
1512172800000,2017-12-02,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,
1512259200000,2017-12-03,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,
1512345600000,2017-12-04,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,
1512432000000,2017-12-05,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,
1512518400000,2017-12-06,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,
1512604800000,2017-12-07,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,
1512691200000,2017-12-08,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,
1512777600000,2017-12-09,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,
1512864000000,2017-12-10,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,
1512950400000,2017-12-11,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,
1513036800000,2017-12-12,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,
1513123200000,2017-12-13,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,
1513209600000,2017-12-14,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,
1513296000000,2017-12-15,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,
1513382400000,2017-12-16,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,
1513468800000,2017-12-17,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,
1513555200000,2017-12-18,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,
1513641600000,2017-12-19,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,
1513728000000,2017-12-20,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,
1513814400000,2017-12-21,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,
1513900800000,2017-12-22,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,
1513987200000,2017-12-23,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,
1514073600000,2017-12-24,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,
1514160000000,2017-12-25,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,
1514246400000,2017-12-26,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,
1514332800000,2017-12-27,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,
1514419200000,2017-12-28,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,
1514505600000,2017-12-29,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,
1514592000000,2017-12-30,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,
1514678400000,2017-12-31,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,
1514764800000,2018-01-01,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,
1514851200000,2018-01-02,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,
1514937600000,2018-01-03,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,
1515024000000,2018-01-04,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,
1515110400000,2018-01-05,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,
1515196800000,2018-01-06,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,
1515283200000,2018-01-07,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,
1515369600000,2018-01-08,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,
1515456000000,2018-01-09,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,
1515542400000,2018-01-10,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,
1515628800000,2018-01-11,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,
1515715200000,2018-01-12,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,
1515801600000,2018-01-13,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,
1515888000000,2018-01-14,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,
1515974400000,2018-01-15,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,
1516060800000,2018-01-16,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,
1516147200000,2018-01-17,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,
1516233600000,2018-01-18,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,
1516320000000,2018-01-19,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,
1516406400000,2018-01-20,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,
1516492800000,2018-01-21,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,
1516579200000,2018-01-22,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,,,,
1516665600000,2018-01-23,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,,,,,,,,,,,,,,,,
1516752000000,2018-01-24,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,,,
1516838400000,2018-01-25,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,,,,,,,,,,,,,,,,
1516924800000,2018-01-26,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,,,
1517011200000,2018-01-27,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,,,,,,,,,,,,,,,,
1517097600000,2018-01-28,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00,,,,,,,,,,,,,,,,
1517184000000,2018-01-29,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.00,,,,,,,,,,,,,,,,
1517270400000,2018-01-30,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.00,,,,,,,,,,,,,,,,
1517356800000,2018-01-31,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00,,,,,,,,,,,,,,,,
1517443200000,2018-02-01,Holding Addresses (Count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.00,,,,,,,,,,,,,,,,
